Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Sulfolobales Beppu filamentous virus 2
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Sulfolobus filamentous virus 1
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 3
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 6
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 7
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 8
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 9
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Sulfolobus islandicus filamentous virus
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Acidianus filamentous virus 2
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Sulfolobales Beppu filamentous virus 3
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Azorudivirus,,Stygiolobus rod-shaped virus
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Acidianus rod-shaped virus 2
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Acidianus rod-shaped virus 3
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Metallosphaera rod-shaped virus 1
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Saccharolobus solfataricus rod-shaped virus 1
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Sulfolobus islandicus rod-shaped virus 1
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Sulfolobus islandicus rod-shaped virus 2
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Sulfolobus islandicus rod-shaped virus 3
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Itarudivirus,,Acidianus rod-shaped virus 1
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Japarudivirus,,Sulfolobales Beppu rod-shaped virus 1
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Mexirudivirus,,Sulfolobales Mexican rod-shaped virus 1
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Sulfolobus islandicus rod-shaped virus 10
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Sulfolobus islandicus rod-shaped virus 11
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Sulfolobus islandicus rod-shaped virus 4
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Sulfolobus islandicus rod-shaped virus 5
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Sulfolobus islandicus rod-shaped virus 8
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Sulfolobus islandicus rod-shaped virus 9
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Ungulaviridae,,Captovirus,,Acidianus filamentous virus 1
Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Maximonvirales,,Ahmunviridae,,Yumkaaxvirus,,Methanophagales virus PBV300
