Species,Genome.composition
Sicinivirus A,ssRNA(+)
Aeromonas phage PVN03,dsDNA
Aeromonas phage pAh6.2TG,dsDNA
Aeromonas phage BUCT696,dsDNA
Vibrio phage vB_VpaM_VPs20,dsDNA
Escherichia phage vB_EcoM_DE15,dsDNA
Escherichia phage vB_EcoM_SA91KD,dsDNA
Escherichia phage vB_EcoM_Bp10,dsDNA
Escherichia phage vB_EcoP_Bp7,dsDNA
Escherichia phage SKA49,dsDNA
Yersinia phage PYps16N,dsDNA
Yersinia phage PYps23T,dsDNA
Yersinia phage PYps3T,dsDNA
Escherichia phage MLP1,dsDNA
Escherichia phage PO103-1,dsDNA
Erwinia phage Fifi44,dsDNA
Fibrovirus fs1,ssDNA(+)
Gordonia phage Jojo24,dsDNA
Gordonia phage Reyja,dsDNA
Gordonia phage Tarzan,dsDNA
Gordonia phage Santhid,dsDNA
Gordonia phage Gibbous,dsDNA
Gordonia phage Azira,dsDNA
Cotonvirus japonicum,dsDNA
Orthonairovirus tomdiense,ssRNA(-)
Orthonairovirus gossasense,ssRNA(-)
Orthobunyavirus bunyamweraense,ssRNA(-)
Orthobunyavirus horizonteense,ssRNA(-)
Orthobunyavirus bruconhaense,ssRNA(-)
Orthobunyavirus maritubaense,ssRNA(-)
Orthobunyavirus apeuense,ssRNA(-)
Orthobunyavirus bunyamweraense,ssRNA(-)
Orthobunyavirus squalofluvii,ssRNA(-)
Orthobunyavirus abrasense,ssRNA(-)
Orthobunyavirus achiotei,ssRNA(-)
Orthobunyavirus bertiogaense,ssRNA(-)
Orthobunyavirus ananindeuaense,ssRNA(-)
Orthobunyavirus mahoganyense,ssRNA(-)
Orthobunyavirus matruhense,ssRNA(-)
Orthobunyavirus akabaneense,ssRNA(-)
Pepper yellows virus,ssRNA(+)
Alphabaculovirus raous,dsDNA
Chaphamaparvovirus primate1,ssDNA(+/-)
Luffa puckering and leaf distortion-associated DNA beta,ssDNA
Nepovirus betasolani,ssRNA(+)
Woolly monkey hepatitis B virus,dsDNA-RT
Porcine mastadenovirus A,dsDNA
Grapevine red blotch virus,ssDNA(+/-)
Porcine associated porprismacovirus 1,ssDNA
Ness Ziona virus,ssRNA(-)
Cordyceps chanhua alternavirus 1,dsRNA
Fusarium oxysporum alternavirus 1,dsRNA
Dhati Welel mammarenavirus,ssRNA(+/-)
Ligustrum leprosis virus,ssRNA(+)
Ligustrum chlorotic spot virus,ssRNA(+)
Solanum violifolium ringspot virus,ssRNA(+)
Yezo virus,ssRNA(-)
Vitis emaravirus,ssRNA(-)
Japanese star anise ringspot-associated virus,ssRNA(-)
Arceuthobium sichuanense virus 1,RNA
pineapple secovirus B,ssRNA(+)
Cassava Torrado-like virus,ssRNA(+)
Turtle fraservirus 1,RNA
Karaka Okahu purepure emaravirus,ssRNA(-)
Stenotaphrum nepovirus,ssRNA(+)
Toyo virus,RNA
Codonopsis torradovirus A,ssRNA(+)
morning glory varicosavirus,ssRNA(-)
Xinjiang varicosa-like virus,ssRNA(-)
Watermelon crinkle leaf-associated virus 2,ssRNA(-)
Watermelon crinkle leaf-associated virus 1,ssRNA(-)
Brassica campestris chinensis coguvirus 1,ssRNA(-)
Yunnan Paris negative-stranded virus,ssRNA(-)
Surrounding non-legume associated secovirus,ssRNA(+)
Anemone nepovirus A,ssRNA(+)
Hartmanivirus quadrati,ssRNA(+/-)
Kowanyama virus,ssRNA(-)
Universidad Nacional virus 1,RNA
Orthobunyavirus botambiense,ssRNA(-)
Fushun phasmavirus 2,ssRNA(-)
Fushun phasmavirus 1,ssRNA(-)
Inner Mongolia sediment arena-like virus,ssRNA(+/-)
Wardell virus,RNA
Bobaya virus,RNA
Hedi virus,ssRNA(+/-)
Beiji nairovirus,ssRNA(-)
Solenopsis invicta virus 14,RNA
Orthobunyavirus bunyamweraense,ssRNA(-)
Songling virus,ssRNA(-)
Sulina virus,ssRNA(-)
Bandavirus zwieselense,ssRNA(+/-)
Euproctis pseudoconspersa bunyavirus,RNA
Guagua virus,ssRNA(+)
Browner virus,RNA
Aphis citricidus bunyavirus,RNA
Baakal virus,ssRNA(-)
Orthobunyavirus acaraense,ssRNA(-)
Orthobunyavirus cuchillaense,ssRNA(-)
Aphalara polygoni bunya-like virus,RNA
Orthobunyavirus bakauense,ssRNA(-)
Orthobunyavirus batamaense,ssRNA(-)
Belem virus,ssRNA(-)
Orthobunyavirus bushbushense,ssRNA(-)
Orthobunyavirus bertiogaense,ssRNA(-)
Orthobunyavirus cuchillaense,ssRNA(-)
Orthobunyavirus bushbushense,ssRNA(-)
Orthobunyavirus bertiogaense,ssRNA(-)
Orthobunyavirus maritubaense,ssRNA(-)
Ceraphron bunya-like virus,RNA
Orthobunyavirus bushbushense,ssRNA(-)
Orthobunyavirus bakauense,ssRNA(-)
Orthobunyavirus horizonteense,ssRNA(-)
Orthobunyavirus mpokoense,ssRNA(-)
Orthobunyavirus minatitlanense,ssRNA(-)
Orthobunyavirus bakauense,ssRNA(-)
Okola virus,ssRNA(-)
Pacora virus,ssRNA(-)
Turnip ringspot virus,ssRNA(+)
Alajuela orthobunyavirus,ssRNA(-)
Tanga virus,ssRNA(-)
Orthobunyavirus bakauense,ssRNA(-)
Termeil virus,ssRNA(-)
Orthobunyavirus timboteuaense,ssRNA(-)
Orthobunyavirus turlockense,ssRNA(-)
Orthobunyavirus turlockense,ssRNA(-)
Orthobunyavirus turlockense,ssRNA(-)
Balagodu virus,ssRNA(-)
Orthophasmavirus chrysis,ssRNA(-)
Orthophasmavirus philoctetis,ssRNA(-)
Hymovirus chrysis,ssRNA(-)
Hymovirus chrysurae,ssRNA(-)
Emaravirus quercus,ssRNA(-)
Emaravirus populi,ssRNA(-)
Comovirus andesense,ssRNA(+)
Nepovirus manihotis,ssRNA(+)
Nepovirus arracaciae,ssRNA(+)
Cheravirus arracaciae,ssRNA(+)
Nepovirus solani,ssRNA(+)
Nepovirus myrtilli,ssRNA(+)
Thogotovirus sinuense,ssRNA(-)
Sadwavirus lactucae,ssRNA(+)
Quaranjavirus araguariense,ssRNA(-)
Mammarenavirus kwanzaense,ssRNA(+/-)
Mammarenavirus bituense,ssRNA(+/-)
Stralarivirus lychnis,ssRNA(+)
Emaravirus aceris,ssRNA(-)
Cilevirus oahuense,ssRNA(+)
Anulavirus GLPV,ssRNA(+)
Emaravirus chrysanthemi,ssRNA(-)
Orthophasmavirus miglotasense,ssRNA(-)
Orthophasmavirus barstukasense,ssRNA(-)
Nepovirus poaceae,ssRNA(+)
Thogotovirus upoluense,ssRNA(-)
Iflavirus achedomestici,ssRNA(+)
Quaranjavirus tyulekense,ssRNA(-)
Nepovirus alphavitis,ssRNA(+)
Orthodiscovirus hispaniae,RNA
Orthodiscovirus iberiae,RNA
Cicadellivirus scaphoidei,ssRNA(-)
Comovirus phaseoli,ssRNA(+)
