Organism_Name,Family,Genome.composition
Sicinivirus A,Picornaviridae,ssRNA(+)
Aeromonas phage PVN03,Chaseviridae,dsDNA
Aeromonas phage pAh6.2TG,Chaseviridae,dsDNA
Aeromonas phage BUCT696,Chaseviridae,dsDNA
Vibrio phage vB_VpaM_VPs20,Chaseviridae,dsDNA
Escherichia phage vB_EcoM_DE15,Chaseviridae,dsDNA
Escherichia phage vB_EcoM_SA91KD,Chaseviridae,dsDNA
Escherichia phage vB_EcoM_Bp10,Chaseviridae,dsDNA
Escherichia phage vB_EcoP_Bp7,Chaseviridae,dsDNA
Escherichia phage SKA49,Chaseviridae,dsDNA
Yersinia phage PYps16N,Chaseviridae,dsDNA
Yersinia phage PYps23T,Chaseviridae,dsDNA
Yersinia phage PYps3T,Chaseviridae,dsDNA
Escherichia phage MLP1,Chaseviridae,dsDNA
Escherichia phage PO103-1,Chaseviridae,dsDNA
Erwinia phage Fifi44,Chaseviridae,dsDNA
Vibrio phage VSKK,Inoviridae,ssDNA(+)
Gordonia phage Jojo24,,dsDNA
Gordonia phage Reyja,,dsDNA
Gordonia phage Tarzan,,dsDNA
Gordonia phage Santhid,,dsDNA
Gordonia phage Gibbous,,dsDNA
Gordonia phage Azira,,dsDNA
Cotonvirus japonicus,Mimiviridae,dsDNA
Orthonairovirus tomdiense,Nairoviridae,ssRNA(-)
Gossas virus,Nairoviridae,ssRNA(-)
Northway virus,Peribunyaviridae,ssRNA(-)
Anopheles A virus,Peribunyaviridae,ssRNA(-)
Bruconha virus,Peribunyaviridae,ssRNA(-)
Nepuyo virus,Peribunyaviridae,ssRNA(-)
Apeu virus,Peribunyaviridae,ssRNA(-)
Shokwe virus,Peribunyaviridae,ssRNA(-)
Shark River virus,Peribunyaviridae,ssRNA(-)
Abras virus,Peribunyaviridae,ssRNA(-)
Infirmatus virus,Peribunyaviridae,ssRNA(-)
Mirim virus,Peribunyaviridae,ssRNA(-)
Ananindeua virus,Peribunyaviridae,ssRNA(-)
Mahogany hammock virus,Peribunyaviridae,ssRNA(-)
Matruh virus,Peribunyaviridae,ssRNA(-)
Yaba-7 virus,Peribunyaviridae,ssRNA(-)
Pepper yellows virus,Solemoviridae,ssRNA(+)
Rachiplusia ou MNPV,Baculoviridae,dsDNA
Capuchin kidney parvovirus,Parvoviridae,ssDNA(+/-)
Luffa puckering and leaf distortion-associated DNA beta,Tolecusatellitidae,ssDNA
Potato virus B,Secoviridae,ssRNA(+)
Woolly monkey hepatitis B virus,Hepadnaviridae,dsDNA-RT
Porcine adenovirus 3,Adenoviridae,dsDNA
Grapevine red blotch virus,Geminiviridae,ssDNA(+/-)
Porcine associated porprismacovirus 1,Smacoviridae,ssDNA
Ness Ziona virus,Peribunyaviridae,ssRNA(-)
Cordyceps chanhua alternavirus 1,Alternaviridae,dsRNA
Fusarium oxysporum alternavirus 1,Alternaviridae,dsRNA
Dhati Welel mammarenavirus,Arenaviridae,ssRNA(+/-)
Ligustrum leprosis virus,Kitaviridae,ssRNA(+)
Ligustrum chlorotic spot virus,Kitaviridae,ssRNA(+)
Solanum violifolium ringspot virus,Kitaviridae,ssRNA(+)
Yezo virus,Nairoviridae,ssRNA(-)
