Species,Family,Genome.composition
Sicinivirus A,Picornaviridae,ssRNA(+)
Aeromonas phage PVN03,Chaseviridae,dsDNA
Aeromonas phage pAh6.2TG,Chaseviridae,dsDNA
Aeromonas phage BUCT696,Chaseviridae,dsDNA
Vibrio phage vB_VpaM_VPs20,Chaseviridae,dsDNA
Escherichia phage vB_EcoM_DE15,Chaseviridae,dsDNA
Escherichia phage vB_EcoM_SA91KD,Chaseviridae,dsDNA
Escherichia phage vB_EcoM_Bp10,Chaseviridae,dsDNA
Escherichia phage vB_EcoP_Bp7,Chaseviridae,dsDNA
Escherichia phage SKA49,Chaseviridae,dsDNA
Yersinia phage PYps16N,Chaseviridae,dsDNA
Yersinia phage PYps23T,Chaseviridae,dsDNA
Yersinia phage PYps3T,Chaseviridae,dsDNA
Escherichia phage MLP1,Chaseviridae,dsDNA
Escherichia phage PO103-1,Chaseviridae,dsDNA
Erwinia phage Fifi44,Chaseviridae,dsDNA
Fibrovirus fs1,Inoviridae,ssDNA(+)
Gordonia phage Jojo24,,dsDNA
Gordonia phage Reyja,,dsDNA
Gordonia phage Tarzan,,dsDNA
Gordonia phage Santhid,,dsDNA
Gordonia phage Gibbous,,dsDNA
Gordonia phage Azira,,dsDNA
Cotonvirus japonicum,Mimiviridae,dsDNA
Orthonairovirus tomdiense,Nairoviridae,ssRNA(-)
Orthonairovirus gossasense,Nairoviridae,ssRNA(-)
Orthobunyavirus bunyamweraense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus horizonteense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus bruconhaense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus maritubaense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus apeuense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus bunyamweraense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus squalofluvii,Peribunyaviridae,ssRNA(-)
Orthobunyavirus abrasense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus achiotei,Peribunyaviridae,ssRNA(-)
Orthobunyavirus bertiogaense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus ananindeuaense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus mahoganyense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus matruhense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus akabaneense,Peribunyaviridae,ssRNA(-)
Pepper yellows virus,Solemoviridae,ssRNA(+)
Alphabaculovirus raous,Baculoviridae,dsDNA
Chaphamaparvovirus primate1,Parvoviridae,ssDNA(+/-)
Luffa puckering and leaf distortion-associated DNA beta,Tolecusatellitidae,ssDNA
Nepovirus betasolani,Secoviridae,ssRNA(+)
Woolly monkey hepatitis B virus,Hepadnaviridae,dsDNA-RT
Porcine mastadenovirus A,Adenoviridae,dsDNA
Grapevine red blotch virus,Geminiviridae,ssDNA(+/-)
Porcine associated porprismacovirus 1,Smacoviridae,ssDNA
Ness Ziona virus,Peribunyaviridae,ssRNA(-)
Cordyceps chanhua alternavirus 1,Alternaviridae,dsRNA
Fusarium oxysporum alternavirus 1,Alternaviridae,dsRNA
Dhati Welel mammarenavirus,Arenaviridae,ssRNA(+/-)
Ligustrum leprosis virus,Kitaviridae,ssRNA(+)
