Species,Genome composition
Alphalipothrixvirus SBFV2,dsDNA
Alphalipothrixvirus SFV1,dsDNA
Acidianus filamentous virus 3,dsDNA
Acidianus filamentous virus 6,dsDNA
Acidianus filamentous virus 7,dsDNA
Acidianus filamentous virus 8,dsDNA
Acidianus filamentous virus 9,dsDNA
Sulfolobus islandicus filamentous virus,dsDNA
Acidianus filamentous virus 2,dsDNA
Deltalipothrixvirus SBFV3,dsDNA
Azorudivirus SRV,dsDNA
Hoswirudivirus ARV2,dsDNA
Hoswirudivirus ARV3,dsDNA
Hoswirudivirus MRV1,dsDNA
Hoswirudivirus SSRV1,dsDNA
Icerudivirus SIRV1,dsDNA
Icerudivirus SIRV2,dsDNA
Icerudivirus SIRV3,dsDNA
Itarudivirus ARV1,dsDNA
Japarudivirus SBRV1,dsDNA
Mexirudivirus SMRV1,dsDNA
Usarudivirus SIRV10,dsDNA
Usarudivirus SIRV11,dsDNA
Usarudivirus SIRV4,dsDNA
Usarudivirus SIRV5,dsDNA
Usarudivirus SIRV8,dsDNA
Usarudivirus SIRV9,dsDNA
Captovirus AFV1,dsDNA
Yumkaaxvirus pescaderoense,dsDNA
Alphatristromavirus PFV1,dsDNA
Alphatristromavirus PFV2,dsDNA
Betatristromavirus TTV1,dsDNA
Batravirus ranidallo1,dsDNA
Batravirus ranidallo2,dsDNA
Batravirus ranidallo3,dsDNA
Cyvirus anguillidallo1,dsDNA
Cyvirus cyprinidallo1,dsDNA
Cyvirus cyprinidallo2,dsDNA
Cyvirus cyprinidallo3,dsDNA
Ictavirus acipenseridallo2,dsDNA
Ictavirus ictaluridallo1,dsDNA
Ictavirus ictaluridallo2,dsDNA
Salmovirus salmonidallo1,dsDNA
Salmovirus salmonidallo2,dsDNA
Salmovirus salmonidallo3,dsDNA
Aurivirus haliotidmalaco1,dsDNA
Ostreavirus ostreidmalaco1,dsDNA
Iltovirus cacatuidalpha2,dsDNA
Iltovirus gallidalpha1,dsDNA
Iltovirus psittacidalpha1,dsDNA
Iltovirus psittacidalpha5,dsDNA
Mardivirus anatidalpha1,dsDNA
Mardivirus columbidalpha1,dsDNA
Mardivirus gallidalpha2,dsDNA
Mardivirus gallidalpha3,dsDNA
Mardivirus meleagridalpha1,dsDNA
Mardivirus spheniscidalpha1,dsDNA
Scutavirus chelonidalpha5,dsDNA
Scutavirus testudinidalpha3,dsDNA
Simplexvirus atelinealpha1,dsDNA
Simplexvirus bovinealpha2,dsDNA
Simplexvirus cercopithecinealpha2,dsDNA
Simplexvirus humanalpha1,dsDNA
Simplexvirus humanalpha2,dsDNA
Simplexvirus leporidalpha4,dsDNA
Simplexvirus macacinealpha1,dsDNA
Simplexvirus macacinealpha2,dsDNA
Simplexvirus macacinealpha3,dsDNA
Simplexvirus macropodidalpha1,dsDNA
Simplexvirus macropodidalpha2,dsDNA
Simplexvirus macropodidalpha4,dsDNA
Simplexvirus paninealpha3,dsDNA
Simplexvirus papiinealpha2,dsDNA
Simplexvirus pteropodidalpha1,dsDNA
Simplexvirus pteropodidalpha2,dsDNA
Simplexvirus saimiriinealpha1,dsDNA
Varicellovirus bovinealpha1,dsDNA
Varicellovirus bovinealpha5,dsDNA
Varicellovirus bubalinealpha1,dsDNA
Varicellovirus canidalpha1,dsDNA
Varicellovirus caprinealpha1,dsDNA
Varicellovirus cercopithecinealpha9,dsDNA
Varicellovirus cervidalpha1,dsDNA
Varicellovirus cervidalpha2,dsDNA
Varicellovirus cervidalpha3,dsDNA
Varicellovirus equidalpha1,dsDNA
Varicellovirus equidalpha3,dsDNA
Varicellovirus equidalpha4,dsDNA
Varicellovirus equidalpha6,dsDNA
Varicellovirus equidalpha8,dsDNA
Varicellovirus equidalpha9,dsDNA
Varicellovirus felidalpha1,dsDNA
Varicellovirus humanalpha3,dsDNA
Varicellovirus monodontidalpha1,dsDNA
Varicellovirus phocidalpha1,dsDNA
Varicellovirus suidalpha1,dsDNA
Cytomegalovirus aotinebeta1,dsDNA
Cytomegalovirus cebinebeta1,dsDNA
Cytomegalovirus cercopithecinebeta5,dsDNA
Cytomegalovirus humanbeta5,dsDNA
Cytomegalovirus macacinebeta3,dsDNA
Cytomegalovirus macacinebeta8,dsDNA
Cytomegalovirus mandrillinebeta1,dsDNA
Cytomegalovirus paninebeta2,dsDNA
Cytomegalovirus papiinebeta3,dsDNA
Cytomegalovirus papiinebeta4,dsDNA
Cytomegalovirus saimiriinebeta4,dsDNA
Muromegalovirus muridbeta1,dsDNA
Muromegalovirus muridbeta2,dsDNA
Muromegalovirus muridbeta8,dsDNA
Proboscivirus elephantidbeta1,dsDNA
Proboscivirus elephantidbeta3,dsDNA
Proboscivirus elephantidbeta4,dsDNA
Proboscivirus elephantidbeta5,dsDNA
Quwivirus caviidbeta2,dsDNA
Quwivirus miniopteridbeta1,dsDNA
Quwivirus tupaiidbeta1,dsDNA
Roseolovirus humanbeta6a,dsDNA
Roseolovirus humanbeta6b,dsDNA
Roseolovirus humanbeta7,dsDNA
Roseolovirus macacinebeta9,dsDNA
Roseolovirus muridbeta3,dsDNA
Roseolovirus suidbeta2,dsDNA
Bossavirus delphinidgamma1,dsDNA
Lymphocryptovirus callitrichinegamma3,dsDNA
Lymphocryptovirus gorillinegamma1,dsDNA
Lymphocryptovirus humangamma4,dsDNA
Lymphocryptovirus macacinegamma10,dsDNA
Lymphocryptovirus macacinegamma13,dsDNA
Lymphocryptovirus macacinegamma4,dsDNA
Lymphocryptovirus paninegamma1,dsDNA
Lymphocryptovirus papiinegamma1,dsDNA
Lymphocryptovirus ponginegamma2,dsDNA
Macavirus alcelaphinegamma1,dsDNA
Macavirus alcelaphinegamma2,dsDNA
