Species,Genome composition
Sulfolobales Beppu filamentous virus 2,dsDNA
Sulfolobus filamentous virus 1,dsDNA
Acidianus filamentous virus 3,dsDNA
Acidianus filamentous virus 6,dsDNA
Acidianus filamentous virus 7,dsDNA
Acidianus filamentous virus 8,dsDNA
Acidianus filamentous virus 9,dsDNA
Sulfolobus islandicus filamentous virus,dsDNA
Acidianus filamentous virus 2,dsDNA
Sulfolobales Beppu filamentous virus 3,dsDNA
Stygiolobus rod-shaped virus,dsDNA
Acidianus rod-shaped virus 2,dsDNA
Acidianus rod-shaped virus 3,dsDNA
Metallosphaera rod-shaped virus 1,dsDNA
Saccharolobus solfataricus rod-shaped virus 1,dsDNA
Sulfolobus islandicus rod-shaped virus 1,dsDNA
Sulfolobus islandicus rod-shaped virus 2,dsDNA
Sulfolobus islandicus rod-shaped virus 3,dsDNA
Acidianus rod-shaped virus 1,dsDNA
Sulfolobales Beppu rod-shaped virus 1,dsDNA
Sulfolobales Mexican rod-shaped virus 1,dsDNA
Sulfolobus islandicus rod-shaped virus 10,dsDNA
Sulfolobus islandicus rod-shaped virus 11,dsDNA
Sulfolobus islandicus rod-shaped virus 4,dsDNA
Sulfolobus islandicus rod-shaped virus 5,dsDNA
Sulfolobus islandicus rod-shaped virus 8,dsDNA
Sulfolobus islandicus rod-shaped virus 9,dsDNA
Acidianus filamentous virus 1,dsDNA
Methanophagales virus PBV300,dsDNA
Pyrobaculum filamentous virus 1,dsDNA
Pyrobaculum filamentous virus 2,dsDNA
Thermoproteus tenax virus 1,dsDNA
Lucké tumor herpesvirus; ranid herpesvirus 1,dsDNA
frog virus 4; ranid herpesvirus 2,dsDNA
ranid herpesvirus 3,dsDNA
Japanese eel herpesvirus; anguillid herpesvirus 1,dsDNA
carp pox herpesvirus; cyprinid herpesvirus 1,dsDNA
goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2,dsDNA
koi herpesvirus; cyprinid herpesvirus 3,dsDNA
white sturgeon herpesvirus 2; acipenserid herpesvirus 2,dsDNA
channel catfish virus; ictalurid herpesvirus 1,dsDNA
black bullhead herpesvirus; ictalurid herpesvirus 2,dsDNA
herpesvirus salmonis; salmonid herpesvirus 1,dsDNA
Oncorhyncus masou herpesvirus; salmonid herpesvirus 2,dsDNA
epizootic epitheliotropic disease virus; salmonid herpesvirus 3,dsDNA
abalone herpesvirus; haliotid herpesvirus 1,dsDNA
oyster herpesvirus; ostreid herpesvirus 1,dsDNA
cacatuid alphaherpesvirus 2,dsDNA
gallid alphaherpesvirus 1; infectious laryngotracheitis virus,dsDNA
psittacid alphaherpesvirus 1; Pacheco's disease virus,dsDNA
psittacid alphaherpesvirus 5,dsDNA
anatid alphaherpesvirus 1; duck enteritis virus,dsDNA
columbid alphaherpesvirus 1; pigeon herpesvirus,dsDNA
gallid alphaherpesvirus 2; Marek's disease virus,dsDNA
gallid alphaherpesvirus 3; gallid herpesvirus 3,dsDNA
meleagrid alphaherpesvirus 1; turkey herpesvirus,dsDNA
spheniscid alphaherpesvirus 1,dsDNA
chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus,dsDNA
testudinid alphaherpesvirus 3; testudinid herpesvirus 3,dsDNA
ateline alphaherpesvirus 1; herpesvirus ateles 1,dsDNA
bovine alphaherpesvirus 2; bovine mammillitis virus,dsDNA
cercopithecine alphaherpesvirus 2; simian agent 8,dsDNA
human alphaherpesvirus 1; herpes simplex virus type 1,dsDNA
human alphaherpesvirus 2; herpes simplex virus type 2,dsDNA
leporid alphaherpesvirus 4; leporid herpesvirus 4,dsDNA
macacine alphaherpesvirus 1; B-virus,dsDNA
macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1,dsDNA
macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1,dsDNA
macropodid alphaherpesvirus 1; Parma wallaby herpesvirus,dsDNA
macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus,dsDNA
macropodid alphaherpesvirus 4,dsDNA
panine alphaherpesvirus 3; chimpanzee herpesvirus,dsDNA
papiine alphaherpesvirus 2; herpesvirus papio 2,dsDNA
pteropodid alphaherpesvirus 1; fruit bat alphaherpesvirus 1,dsDNA
pteropodid alphaherpesvirus 2; Pteropus lylei-associated alphaherpesvirus,dsDNA
saimiriine alphaherpesvirus 1; herpesvirus saimiri 1,dsDNA
bovine alphaherpesvirus 1; infectious bovine rhinotracheitis virus,dsDNA
bovine alphaherpesvirus 5; bovine encephalitis herpesvirus,dsDNA
bubaline alphaherpesvirus 1; water buffalo herpesvirus,dsDNA
canid alphaherpesvirus 1; canine herpesvirus,dsDNA
caprine alphaherpesvirus 1; goat herpesvirus,dsDNA
cercopithecine alphaherpesvirus 9; simian varicella virus,dsDNA
cervid alphaherpesvirus 1; red deer herpesvirus,dsDNA
cervid alphaherpesvirus 2; reindeer herpesvirus,dsDNA
cervid alphaherpesvirus 3; elk herpesvirus,dsDNA
equid alphaherpesvirus 1; equine abortion virus,dsDNA
equid alphaherpesvirus 3; equine coital exanthema virus,dsDNA
equid alphaherpesvirus 4; equine rhinopneumonitis virus,dsDNA
equid alphaherpesvirus 6; asinine herpesvirus 1,dsDNA
