Organism_Name,Genome.composition
Sicinivirus A,ssRNA(+)
Aeromonas phage PVN03,dsDNA
Aeromonas phage pAh6.2TG,dsDNA
Aeromonas phage BUCT696,dsDNA
Vibrio phage vB_VpaM_VPs20,dsDNA
Escherichia phage vB_EcoM_DE15,dsDNA
Escherichia phage vB_EcoM_SA91KD,dsDNA
Escherichia phage vB_EcoM_Bp10,dsDNA
Escherichia phage vB_EcoP_Bp7,dsDNA
Escherichia phage SKA49,dsDNA
Yersinia phage PYps16N,dsDNA
Yersinia phage PYps23T,dsDNA
Yersinia phage PYps3T,dsDNA
Escherichia phage MLP1,dsDNA
Escherichia phage PO103-1,dsDNA
Erwinia phage Fifi44,dsDNA
Vibrio phage VSKK,ssDNA(+)
Gordonia phage Jojo24,dsDNA
Gordonia phage Reyja,dsDNA
Gordonia phage Tarzan,dsDNA
Gordonia phage Santhid,dsDNA
Gordonia phage Gibbous,dsDNA
Gordonia phage Azira,dsDNA
Cotonvirus japonicus,dsDNA
Orthonairovirus tomdiense,ssRNA(-)
Gossas virus,ssRNA(-)
Northway virus,ssRNA(-)
Anopheles A virus,ssRNA(-)
Bruconha virus,ssRNA(-)
Nepuyo virus,ssRNA(-)
Apeu virus,ssRNA(-)
Shokwe virus,ssRNA(-)
Shark River virus,ssRNA(-)
Abras virus,ssRNA(-)
Infirmatus virus,ssRNA(-)
Mirim virus,ssRNA(-)
Ananindeua virus,ssRNA(-)
Mahogany hammock virus,ssRNA(-)
Matruh virus,ssRNA(-)
Yaba-7 virus,ssRNA(-)
Pepper yellows virus,ssRNA(+)
Rachiplusia ou MNPV,dsDNA
Capuchin kidney parvovirus,ssDNA(+/-)
Luffa puckering and leaf distortion-associated DNA beta,ssDNA
Potato virus B,ssRNA(+)
Woolly monkey hepatitis B virus,dsDNA-RT
Porcine adenovirus 3,dsDNA
Grapevine red blotch virus,ssDNA(+/-)
Porcine associated porprismacovirus 1,ssDNA
Ness Ziona virus,ssRNA(-)
Cordyceps chanhua alternavirus 1,dsRNA
Fusarium oxysporum alternavirus 1,dsRNA
Dhati Welel mammarenavirus,ssRNA(+/-)
Ligustrum leprosis virus,ssRNA(+)
Ligustrum chlorotic spot virus,ssRNA(+)
Solanum violifolium ringspot virus,ssRNA(+)
Yezo virus,ssRNA(-)
Vitis emaravirus,ssRNA(-)
Japanese star anise ringspot-associated virus,ssRNA(-)
Arceuthobium sichuanense virus 1,RNA
pineapple secovirus B,ssRNA(+)
Cassava Torrado-like virus,ssRNA(+)
Turtle fraservirus 1,RNA
Karaka Okahu purepure emaravirus,ssRNA(-)
Stenotaphrum nepovirus,ssRNA(+)
Toyo virus,RNA
Codonopsis torradovirus A,ssRNA(+)
morning glory varicosavirus,ssRNA(-)
Xinjiang varicosa-like virus,ssRNA(-)
Watermelon crinkle leaf-associated virus 2,ssRNA(-)
Watermelon crinkle leaf-associated virus 1,ssRNA(-)
Brassica campestris chinensis coguvirus 1,ssRNA(-)
Yunnan Paris negative-stranded virus,ssRNA(-)
Surrounding non-legume associated secovirus,ssRNA(+)
Anemone nepovirus A,ssRNA(+)
big electron-dense squares virus 1,ssRNA(+/-)
Kowanyama virus,ssRNA(-)
Universidad Nacional virus 1,RNA
Botambi virus,ssRNA(-)
Fushun phasmavirus 2,ssRNA(-)
Fushun phasmavirus 1,ssRNA(-)
Inner Mongolia sediment arena-like virus,ssRNA(+/-)
Wardell virus,RNA
Bobaya virus,RNA
Hedi virus,ssRNA(+/-)
Beiji nairovirus,ssRNA(-)
Solenopsis invicta virus 14,RNA
Ebinur lake virus,ssRNA(-)
Songling virus,ssRNA(-)
Sulina virus,ssRNA(-)
Zwiesel bat bandavirus,ssRNA(+/-)
Euproctis pseudoconspersa bunyavirus,RNA
Guagua virus,ssRNA(+)
Browner virus,RNA
Aphis citricidus bunyavirus,RNA
Baakal virus,ssRNA(-)
Acara virus,ssRNA(-)
Anopheles B virus,ssRNA(-)
Aphalara polygoni bunya-like virus,RNA
Bakau virus,ssRNA(-)
Batama virus,ssRNA(-)
Belem virus,ssRNA(-)
Benfica virus,ssRNA(-)
Bertioga virus,ssRNA(-)
Boraceia virus,ssRNA(-)
Bushbush virus,ssRNA(-)
Guaratuba virus,ssRNA(-)
Gumbo Limbo virus,ssRNA(-)
Ceraphron bunya-like virus,RNA
Juan Diaz virus,ssRNA(-)
Ketapang virus,ssRNA(-)
Las Maloyas virus,ssRNA(-)
M'Poko virus,ssRNA(-)
Minatitlan virus,ssRNA(-)
Nola virus,ssRNA(-)
Okola virus,ssRNA(-)
Pacora virus,ssRNA(-)
Turnip ringspot virus,ssRNA(+)
San Juan virus,ssRNA(-)
Tanga virus,ssRNA(-)
Telok Forest virus,ssRNA(-)
Termeil virus,ssRNA(-)
Timboteua virus,ssRNA(-)
Orthobunyavirus turlockense,ssRNA(-)
Lednice virus,ssRNA(-)
Umbre virus,ssRNA(-)
Balagodu virus,ssRNA(-)
hymenopteran phasma-related virus OKIAV227,ssRNA(-)
hymenopteran phasma-related virus OKIAV228,ssRNA(-)
hymenopteran phasma-related virus OKIAV250,ssRNA(-)
hymenopteran phasma-related virus OKIAV252,ssRNA(-)
Common oak ringspot-associated virus,ssRNA(-)
Aspen mosaic-associated virus,ssRNA(-)
Andean potato mottle virus,ssRNA(+)
Cassava green mottle virus,ssRNA(+)
Arracacha virus A,ssRNA(+)
Arracacha virus B,ssRNA(+)
Potato black ringspot virus,ssRNA(+)
Blueberry leaf mottle virus,ssRNA(+)
Sinu virus,ssRNA(-)
Lettuce secovirus 1,ssRNA(+)
Araguari virus,ssRNA(-)
Kwanza virus,ssRNA(+/-)
Bitu virus,ssRNA(+/-)
Lychnis mottle virus,ssRNA(+)
Maple mottle-associated virus,ssRNA(-)
Hibiscus yellow blotch virus,ssRNA(+)
Grapevine line pattern virus,ssRNA(+)
Chrysanthemum mosaic-associated virus,ssRNA(-)
Miglotas virus,ssRNA(-)
Barstukas virus,ssRNA(-)
Poaceae Liege nepovirus A,ssRNA(+)
Upolu virus,ssRNA(-)
Acheta domesticus iflavirus,ssRNA(+)
Tjuloc virus,ssRNA(-)
Grapevine nepovirus A,ssRNA(+)
Plasmopara viticola lesion associated mycobunyavirales-like virus 8,RNA
Plasmopara viticola lesion associated mycobunyavirales-like virus 4,RNA
Scaphoideus titanus bunya-like virus 1,ssRNA(-)
Phaseolus vulgaris severe mosaic virus,ssRNA(+)
Pineapple secovirus A,ssRNA(+)
Coredo virus,ssRNA(-)
Jos virus,ssRNA(-)
Flen virus,ssRNA(-)
Pilchard orthomyxovirus,ssRNA(-)
Penicillium roseopurpureum negative ssRNA virus 1,RNA
Thailand tick thogotovirus,ssRNA(-)
Pepper mild mosaic virus,ssRNA(+)
Caraway yellows virus,ssRNA(+)
Arabidopsis latent virus-1,ssRNA(+)
Bourbon virus,ssRNA(-)
